Aphrodite,Venus
Apollo,Apollo
Ares,Mars
Artemis,Diana
Athena,Minerva
Demeter,Ceres
Dionysus,Bacchus
Hades,Pluto
Hephaestus,Vulcan
Hera,Juno
Hermes,Mercury
Hestia,Vesta
Poseidon,Neptune
Zeus,Jupiter

Aether
Ananke
Chaos
Chronos
Erebus
Eros
Hypnos
Nesoi
Uranus
Gaia
Ourea
Phanes
Pontus
Tartarus
Thalassa
Thanatos
Hemera
Nyx
Nemesis

Coeus
Crius
Cronus
Hyperion
Iapetus
Mnemosyne
Oceanus
Phoebe
Rhea
Tethys
Theia
Themis
Asteria
Astraeus
Atlas
Aura
Clymene
Dione
Helios
Selene
Eos
Epimetheus
Eurybia
Eurynome
Lelantos
Leto
Menoetius
Metis
Ophion
Pallas
Perseus
Prometheus
Styx

Achlys
Adephagia
Adikia
Aergia
Agon
Aidos
Aisa
Alala
Alastor
Aletheia
Algea
Achos
Ania
Lupe
Alke
Amechania
Amphilogiai
Anaideia
Androktasiai
Angelia
Apate
Apheleia
Aporia
Arae
Arete
Atë
Bia
Caerus
Corus
Deimos
Dike
Dolos
Dysnomia
Dyssebeia
Eirene
Ekecheiria
Eleos
Elpis
Epiphron
Eris
Erotes
Anteros
Eros
Hedylogos
Himeros
Pothos
Eucleia
Eulabeia
Eunomia
Eupheme
Eupraxia
Eusebeia
Euthenia
Gelos
Geras
Harmonia
Hebe
Hedone
Heimarmene
Homados
Homonoia
Horkos
Horme
Hybris
Hypnos
Hysminai
Ioke
Kakia
Kalokagathia
Keres
Koalemos
Kratos
Kydoimos
Lethe
Limos
Litae
Lyssa
Machai
Mania
Moirai
Clotho
Lachesis
Atropos
Momus
Moros
Neikea
Nemesis
Nike
Nomos
Oizys
Oneiroi
Epiales
Morpheus
Phantasos
Phobetor
Palioxis
Peitharchia
Peitho
Penia
Penthus
Pepromene
Pheme
Philophrosyne
Philotes
Phobos
Phonoi
Phrike
Phthonus
Pistis
Poine
Polemos
Ponos
Poros
Praxidike
Proioxis
Prophasis
Pseudologoi
Ptocheia
Soter
Soteria
Sophrosyne
Techne
Thanatos
Thrasos
Tyche
Zelos
Amphiaraus
Angelos
Askalaphos
Cerberus
Charon
Empusa
Erebos
Erinyes
Alecto
Tisiphone
Megaera
Hecate
Aiakos
Minos
Rhadamanthys
Keuthonymos
Cronus
Lamia
Lampad
Gorgyra
Orphne
Macaria
Melinoe
Menoetes
Mormo
Nyx
Hades
Persephone

Acheron
Kokytos
Lethe
Phlegethon
Styx
Tartarus
Thanatos

Aegaeon
Achelous
Benthesikyme
Brizo
Ceto
Charybdis
Cymopoleia
Delphin
EidotheaGlaucus
Gorgons
Stheno
Euryale
Medusa
Graeae
Deino
Enyo
Pemphredo
Harpy,Harpies
AelloOcypete
Podarge
Celaeno
Hippocamp
Hydros
Ichthyocentaurs
Bythos
Aphros
Carcinus
Ladon
Leucothea
Nereid
Thetis
Arethusa
Galene
Psamathe
Nereus
Nerites
Oceanus
Palaemon
Phorcys
Pontos
Proteus
Poseidon
Amphitrite
Scylla
Siren
Telchines
Tethys
Thalassa
Thaumas
Thoosa
Triteia
Triton
Tritones
Achelois
Aeolus
Aether
Alectrona
Zeus
Hera
Apollo
Artemis
Arke
Astraios
Stilbon
Eosphorus
Hesperus
Pyroeis
Phaethon
Phaenon
Aurai
Aura
Chaos
Chione
Uranus
Helios
Selene
Eos
Hemera
Nyx
Hesperides
Iris
Nephelai
Pandia
Ersa
Anemoi
Boreas
Eurus
Notus
Zephyrus
Pleiades
Alcyone
Sterope
Celaeno
Electra
Maia
Merope
Taygete
Aetna
Amphictyonis
Anthousai
Aristaeus
Attis
Britomartis
Cabeiri
Centaur
Asbolus
Chariclo
Chiron
Eurytion
Nessus
Pholus
Cercopes
Chloris
Comus
Corymbus
Curetes
Cybele
Dactyls
Acmon
Titias
Dionysus
Dryad
Gaia
Epimeliad
Hamadryad
Hecaterus
Hephaestus
Hermes
Horae
Eunomia
Dike
Eirene
Thallo
Auxo
Karpo
Pherousa
Euporie
Orthosie
Sponde
Korybantes
Kyrbas
Pyrrhichos
Maenad
Methe
Meliae
Naiad
Daphne
Metope
Minthe
Nymphai Hyperboreioi
Oread
Adrasteia
Echo
Oceanid
Beroe
Calypso
Clytie
Eidyia
Ourea
Palici
Pan
Potamoi
Achelous
Acis
Acheron
Alpheus
Asopus
Cladeus
Eurotas
Cocytus
Lethe
Peneus
Phlegethon
Styx
Scamander
Priapus
Rhea
Satyr
Krotos
Silenus
Telete
Zagreus
Adonis
Aphaea
Carme
Carmanor
Chrysothemis
Cyamites
Demeter
Despoina
Dionysus
Eunostus
Hestia
Persephone
Philomelus
Plutus
Triptolemus
Apollo
Asclepius
Aceso
Aegle
Epione
Hygieia
Iaso
Panacea
Telesphorus
Acratopotes
Adrastea
Agdistis
Alexiares and Anicetus
Aphroditus
Astraea
Auxesia
Charites
Aglaea
Euphrosyne
Thalia
Hegemone
Antheia
Pasithea
Ceraon
Chrysus
Circe
Daemones Ceramici
Deipneus
Eiresione
Eileithyia
Enyalius
Enyo
Harpocrates
Hermaphroditus
Hymenaios
Ichnaea
Iynx
Matton
Muses
Aoide
Arche
Melete
Mneme
Thelxinoe
Calliope
Clio
Euterpe
Erato
Melpomene
Polyhymnia
Terpsichore
Thalia
Urania
Cephisso
Apollonis
Borysthenis
Hypate
Mese
Nete
Polymatheia
Palaestra
Rhapso
Achilles
Aiakos
Aeolus
Amphiaraus
Ariadne
Aristaeus
Asclepius
Attis
Bolina
Dioscuri
Dioscuri
Castor
Pollux
Endymion
Ganymede
Glaucus
Hemithea
Heracles
Athena
Lampsace
Minos
Ino
Phoebe
Hilaera
Orithyia
Palaemon
Phylonoe
Psyche
Abderus
Achilles
Aeneas
Ajax the Great
Ajax the Lesser
Amphitryon
Antilochus
Bellerophon
Castor
Chrysippus
Daedalus
Diomedes
Eleusis
Eunostus
Ganymede
Hector
Icarus
Iolaus
Jason
Meleager
Odysseus
Orpheus
Pandion
Perseus
Theseus
Alcestis
Amymone
Andromache
Andromeda
Antigone
Arachne
Ariadne
Atalanta
Briseis
Caeneus
Cassandra
Cassiopeia
Clytemnestra
Danaë
Deianeira
Electra
Europa
Hecuba
Helen
Hermione
Iphigenia
Ismene
Jocasta
Medea
Medusa
Niobe
Pandora
Penelope
Phaedra
Polyxena
Semele
Thrace
Abas
Acastus
Acrisius
Actaeus
Admetus
Adrastus
Aeacus
Aeëtes
Aegeus
Aegimius
Aegisthus
Aegyptus
Aeson
Aëthlius
Aetolus
Agamemnon
Agasthenes
Agenor
Alcinous
Alcmaeon
Aleus
Amphiaraus
Amphictyon
Amphion and Zethus
Amycus
Anaxagoras
Anchises
Arcesius
Argeus
Argus
