Adam
Seth
Enos
Kenan
Mahalalel
Jared
Enoch
Methuselah
Lamech
Noah
Shem
Cain
Abel
Enoch
Irad
Mehujael
Methusael
Lamech
Tubal-cain
Arpachshad
Shelah
Eber
Peleg
Reu
Serug
Nahor
Terah
Abraham
Isaac
Jacob
Judah
Perez
Hezron
Ram
Amminadab
Nahshon
Salmon
Boaz
Obed
Jesse
David
Abel
Kenan
Enoch
Abraham
Isaac
Jacob
Joseph
Sarah
Rebecca
Rachel
Leah
Aaron
Miriam
Eldad and Medad
Phinehas
Joshua
Deborah
Gideon
Eli
Elkanah
Hannah
Abigail
Samuel
Gad
Nathan
David
Solomon
Jeduthun
Ahijah
Elijah
Elisha
Shemaiah
Iddo
Hanani
Jehu
Micaiah
Jahaziel
Eliezer
Zechariah ben Jehoiada
Huldah
Jeremiah
Ezekiel
Hosea
Joel
Amos
Obadiah
Micah
Nahum
Habakkuk
Zephaniah
Haggai
Zechariah
Malachi
Beor
Balaam
Job
Amoz
Beeri
Baruch
Agur
Uriah
Buzi
Mordecai
Oded
Azariah
Abimelech
Saul
Ish-bosheth
David
Solomon
Jeroboam I
Nadab
Baasha
Elah
Zimri
Tibni
Omri
Ahab
Ahaziah
Jehoram
Jehu
Jehoahaz
Jehoash
Jeroboam II
Zechariah
Shallum
Menahem
Pekahiah
Pekah
Hoshea
Rehoboam
Abijam
Asa
Jehoshaphat
Jehoram
Ahaziah
Athaliah
Jehoash
Amaziah
Uzziah
Jotham
Ahaz
Hezekiah
Manasseh
Amon
Josiah
Jehoahaz
Jehoiakim
Jeconiah
Zedekiah
Simon Maccabaeus
John Hyrcanus
Aristobulus I
Alexander Jannaeus
Salome Alexandra
Hyrcanus II
Aristobulus II
Antigonus II Mattathias
Herod the Great
Archelaus
Antipas
Philip the Tetrarch
Salome I
Agrippa
Agrippa II
Aaron
Eleazar
Eli
Phinehas
Asher
Benjamin
Dan
Gad
Issachar
Joseph
Joseph
Tribe of Ephraim
Tribe of Menasheh
Judah
Levi
Naphtali
Reuben
Simeon
Zebulun
esus
Mary, mother of Jesus
Joseph
Brothers of Jesus
James the Just
Jude
Mary of Clopas
Peter
Andrew
James, son of Zebedee
John
Philip
Bartholomew
Thomas
Matthew
James, son of Alphaeus
Judas, son of James
Simon the Zealot
Judas Iscariot
Matthias
Paul,Saul
Barnabas
James the Just
Jude
Caiaphas
Annas
Zechariah
Simeongabus
John the Baptist
Anna
Apollos
Aquila
Dionysius the Areopagite
Epaphras
Joseph of Arimathea
Lazarus
Luke
Mark
Martha
Mary Magdalene
Mary, sister of Martha
Nicodemus
Onesimus
Philemon
Priscilla
Silas
Sopater
Stephen
Timothy
Titus
Herod the Great
Herod Antipas
Pontius Pilate
Agrippa I
Herod Agrippa II
Felix
